"package","version"
"R","3.5.2"
"grDevices","3.5.2"
"graphics","3.5.2"
"utils","3.5.2"
"stats","3.5.2"
"methods","3.5.2"
"rlang","0.4.5"
"tools","3.5.2"
"assertthat","0.2.1"
"crayon","1.3.4"
"digest","0.6.25"
"ellipsis","0.3.0"
"fansi","0.4.1"
"glue","1.3.2"
"bit","1.1-15.2"
"cli","2.0.2"
"grid","3.5.2"
"magrittr","1.5"
"Rcpp","1.0.4"
"sys","2.1"
"utf8","1.1.4"
"vctrs","0.2.4"
"askpass","1.1"
"colorspace","1.4-1"
"fastmatch","1.1-0"
"ff","2.2-14"
"lattice","0.20-38"
"pillar","1.4.3"
"pkgconfig","2.0.3"
"purrr","0.3.3"
"rJava","0.9-11"
"triebeard","0.3.0"
"curl","3.3"
"DatabaseConnectorJars","1.1.0"
"DBI","1.1.0"
"farver","2.0.3"
"ffbase","0.12.8"
"jsonlite","1.6.1"
"labeling","0.3"
"lifecycle","0.2.0"
"Matrix","1.2-15"
"mime","0.6"
"munsell","0.5.0"
"nlme","3.1-137"
"openssl","1.2.1"
"R6","2.4.1"
"RColorBrewer","1.1-2"
"SqlRender","1.6.2"
"tibble","2.1.3"
"tidyselect","1.0.0"
"urltools","1.7.3"
"viridisLite","0.3.0"
"zip","2.0.3"
"clipr","0.7.0"
"DatabaseConnector","2.2.1"
"dplyr","0.8.5"
"gtable","0.3.0"
"hms","0.5.3"
"httr","1.4.0"
"isoband","0.2.0"
"MASS","7.3-51.1"
"mgcv","1.8-26"
"openxlsx","4.1.0"
"plyr","1.8.4"
"RJSONIO","1.3-1.4"
"scales","1.1.0"
"snow","0.4-3"
"withr","2.1.2"
"XML","3.99-0.3"
"FeatureExtraction","2.2.5"
"ggplot2","3.3.0"
"ParallelLogger","1.1.0"
"readr","1.3.1"
"ROhdsiWebApi","0.0.3"
"CohortDiagnostics","0.1.2"
"Covid19TestCharacterization","0.0.1"
